;;Estimate;Std. Err.;z;P>|z|;[95% Conf.;Interval]
E[y|c, X];;;;;;;
Comp1;(Intercept) ;-0.427;0.022;-19.19;0;-0.471;-0.383
;hr;0.312;0.006;48.09;0;0.3;0.325
;lnsigma;-1.251;0.021;-58.36;0;-1.293;-1.209
Comp2;(Intercept) ;0.236;0.007;34.2;0;0.222;0.249
;hr;0.146;0.002;76.38;0;0.142;0.15
;lnsigma;-2.463;-0.018;138.02;0;-2.498;-2.428
P[c|X];;;;;;;
Comp1 ;(Intercept) ;0.725;0.061;11.94;0;0.606;0.844
N = 10549;ll = 715.84;AIC = -1417.67;BIC = -1366.823;;;;
