;;Estimate;Std. Err.;z;P>|z|;[95% Conf.;Interval]
E[y|c, X];;;;;;;
Comp1;(Intercept) ;-0.092;0.009;-10.76;0;-0.108;-0.075
;hr;0.232;0.002;101.9;0;0.228;0.237
;lnsigma;-1.641;0.009;-184.16;0;-1.659;-1.624
Comp2;(Intercept) ;100;;;;;
;hr;0.146;;;;;
;lnsigma;0;;;;;
P[c|X];;;;;;;
Comp1 ;(Intercept) ;6.855307;0.5397827;12.7;0;5.797353;7.913262
N = 10549;ll = -613.70;AIC = 1235.408;BIC = 1264.463;;;;
